N1.AVG_Signal	N2.AVG_Signal	CQ1.AVG_Signal	CQ2.AVG_Signal	0.1%1.AVG_Signal	0.1%2.AVG_Signal
65308.93	66437.49	64247.46	64918.39	62941.75	61063.7
26072.65	25032.67	39338.2	36754.05	48455.04	49409.23
145.9362	136.4401	129.7304	127.4817	124.681	134.7823
147.7915	145.4476	160.68	157.2451	139.9999	134.5043
138.5844	143.5838	143.159	131.3319	141.234	152.2893
179.1593	161.2347	176.2603	157.0154	157.237	161.3469
12970.55	12007.72	12731.16	13113.73	11324.62	11646.12
945.778	900.3851	890.1003	756.377	697.3187	728.5131
149.7924	140.2106	155.2761	139.5957	138.3678	130.9326
198.2511	224.1241	193.4778	160.3779	248.3391	264.1976
176.2868	162.3327	140.3694	154.2375	143.1097	153.9102
133.3197	127.3058	131.946	124.4601	116.3557	121.7752
468.1977	634.6606	476.1828	696.0222	296.0106	269.9191
113.9144	122.6746	108.8705	117.101	110.9371	105.9479
123.4583	120.8907	121.6418	120.8784	111.761	105.6909
141.6858	142.5069	160.1682	169.7286	140.7761	140.0741
8373.362	9752.054	5629.89	6257.281	6351.272	6196.476
288.7435	271.8303	245.4417	219.4122	234.8256	259.7556
107.1587	116.8895	118.9397	112.7504	101.683	103.6499
16751.84	16279.84	9709.088	9604.261	8265.211	8295.046
130.6499	140.7447	105.4674	118.9941	109.6384	118.7514
891.1926	905.6912	1396.702	1303.257	738.4553	719.1148
147	142.9117	199.6664	200.2634	167.8062	139.6509
132.9319	152.2837	165.7094	155.4528	131.8395	129.5072
179.1526	165.5602	196.6545	193.2148	177.7899	184.5957
131.3534	122.1636	121.2657	120.1612	123.24	130.411
84.47343	87.07053	86.42421	83.09937	81.1797	85.61407
251.1085	232.9341	258.6974	248.7023	254.2092	247.5549
103.0794	92.14188	85.20372	101.2805	86.59136	79.3421
206.4789	195.9308	454.8746	558.6201	310.8787	281.2616
135.2449	151.082	133.6498	143.2126	145.2424	139.4768
104.5782	109.2932	97.07894	93.44023	101.4278	93.80035
142.8102	153.0187	151.6094	185.1657	129.8824	132.8169
3666.715	3688.967	2388.748	2860.925	2964.016	2775.045
128.4118	132.1075	126.7766	125.8552	124.2763	121.0773
128.9529	130.1699	122.782	146.4885	138.1232	116.6259
211.3265	225.6656	202.3338	210.9815	231.5612	203.8764
158.9677	143.3859	170.1777	180.6098	135.5978	161.2369
86.57328	87.87881	85.84221	93.51563	80.90206	79.02411
253.2385	240.0448	149.2886	141.8661	289.7095	300.6949
188.468	219.8939	220.4082	192.9072	147.3925	149.7656
246.6757	268.3881	201.8898	211.5601	199.1882	176.7153
10208.54	9298.286	4930.125	5822.898	6589.825	6750.495
2573.533	2586.616	5494.341	5670.347	1803.688	1978.147
3647.234	4023.129	7967.249	8459.385	5341.599	5538.313
135.4315	127.6858	143.3476	122.0098	113.2974	127.3761
419.1546	459.5429	559.2933	393.642	217.2749	216.8625
123.148	110.7242	105.6577	114.6499	108.043	103.4958
257.3053	226.3746	165.2887	158.1378	178.5969	159.081
87.22272	81.26695	97.97171	109.5588	84.29333	78.77789
154.2728	149.6166	148.7695	138.64	135.5398	132.99
136.8923	147.6499	141.608	126.168	131.2053	146.8704
139.2301	135.517	129.6432	131.344	115.408	124.6744
1166.863	1155.144	1214.911	1158.176	856.0542	929.3168
211.2181	231.8728	218.6794	229.9031	188.37	199.1283
1405.391	1384.66	1229.509	1305.843	836.9225	942.0643
173.9725	154.2242	186.5481	158.3344	144.5977	146.8101
160.3985	183.0186	181.0739	173.2212	175.7288	184.0582
